CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO SAN SEBASTIAN CALLE 116,BIOMAX,CARRERA 72 No. 98-60 - 68 - 74 - 82,GASOLINA EXTRA OXIGENADA,12330,A,07/15/2019 12:00:00 AM,07/01/2019 12:00:00 AM
16,META,717,VILLAVICENCIO,ESTACION DE SERVICIO SURTILLANOS,TERPEL,CARRERA 34 Nº 35-53/57,GASOLINA CORRIENTE OXIGENADA,8490,A,07/18/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,ESTACION DE SERVICIO LA INDIANA,BIOMAX,LA CORTINA VEREDA DE CANDELILLAS,ACPM - DIESEL,7450,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,519,FUSAGASUGA,ESTACION DE SERVICIO PUENTE EL AGUILA,BIOMAX,TRANSVERSAL 12 N 14-21,GASOLINA CORRIENTE OXIGENADA,9650,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,834,OCAÑA,ESTACION DE SERVICIO EL LIMON,COOMULPINORT,VEREDA AGUAS CLARAS CORREGIMIENTO DE AGUAS CLARAS KILOMETRO 5 VIA A LLANO GRANDE,BIODIESEL EXTRA,6900,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,834,OCAÑA,ESTACION DE SERVICIO EL LIMON,COOMULPINORT,VEREDA AGUAS CLARAS CORREGIMIENTO DE AGUAS CLARAS KILOMETRO 5 VIA A LLANO GRANDE,GASOLINA CORRIENTE OXIGENADA,7680,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,44,SANTA FE DE ANTIOQUIA,ESTACION DE SERVICIOS LA VARIANTE,ZEUSS,CALLE 13 LA VARIANTE No. 7-18,GASOLINA EXTRA OXIGENADA,12450,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
10,CORDOBA,479,PURISIMA DE LA CONCEPCION,ESTACION BETEL,ZEUSS,CARRERA 1 No. 01-70 CORREGIMIENTO LOS CORRALES,BIODIESEL EXTRA,9450,A,07/18/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,1026,SALDAÑA,ESTACION DE SERVICIO SERVIAGRICOLA SALDAÑA,TERPEL,CARRERA 18 No. 11-126,GASOLINA CORRIENTE OXIGENADA,9653,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
26,CASANARE,1084,YOPAL,ESTACION DE SERVICIO DISTRACOM LOS HEROES,TEXACO,CARRERA 20 No. 29-57- 75,GASOLINA EXTRA OXIGENADA,12300,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
